Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuyProcess,Chrome 72.0.3626.121,,2019-03-11 18:45:55,2019-03-11 18:47:19,1m - 24.287s,FAILED
,,,,,,
Test Cases/Login,Chrome 72.0.3626.121,MarkitCoreLogin,2019-03-11 18:45:55,2019-03-11 18:46:16,20.929s,PASSED
"openBrowser(""https://dev.markit-systems.com/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 72.0.3626.121,,2019-03-11 18:45:56,2019-03-11 18:46:02,6.352s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-11 18:46:02,2019-03-11 18:46:02,0.159s,PASSED
waitForPageLoad(4),Chrome 72.0.3626.121,,2019-03-11 18:46:02,2019-03-11 18:46:02,0.045s,PASSED
"setText(findTestObject(""Username""), ""dDasTester"")",Chrome 72.0.3626.121,,2019-03-11 18:46:02,2019-03-11 18:46:02,0.129s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-11 18:46:02,2019-03-11 18:46:04,2.020s,PASSED
"setText(findTestObject(""Password""), ""Czybm6R*"")",Chrome 72.0.3626.121,,2019-03-11 18:46:04,2019-03-11 18:46:04,0.120s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-11 18:46:04,2019-03-11 18:46:07,3.005s,PASSED
"click(findTestObject(""LoginButton""))",Chrome 72.0.3626.121,,2019-03-11 18:46:07,2019-03-11 18:46:13,5.797s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 18:46:13,2019-03-11 18:46:16,3.002s,PASSED
,,,,,,
Test Cases/ClientSearch,Chrome 72.0.3626.121,,2019-03-11 18:46:16,2019-03-11 18:46:36,19.867s,PASSED
"waitForElementClickable(findTestObject(""ClientSearch""), 10)",Chrome 72.0.3626.121,,2019-03-11 18:46:16,2019-03-11 18:46:16,0.045s,PASSED
"click(findTestObject(""ClientSearch""))",Chrome 72.0.3626.121,,2019-03-11 18:46:16,2019-03-11 18:46:17,1.123s,PASSED
delay(5),Chrome 72.0.3626.121,,2019-03-11 18:46:17,2019-03-11 18:46:23,5.004s,PASSED
"sendKeys(findTestObject(""SearchText""), ""Dipak"")",Chrome 72.0.3626.121,,2019-03-11 18:46:23,2019-03-11 18:46:23,0.102s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-11 18:46:23,2019-03-11 18:46:25,2.002s,PASSED
"sendKeys(findTestObject(""SearchText""), Keys.chord(ENTER))",Chrome 72.0.3626.121,,2019-03-11 18:46:25,2019-03-11 18:46:25,0.064s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 18:46:25,2019-03-11 18:46:28,3.002s,PASSED
"waitForElementClickable(findTestObject(""ClientListingAction""), 5)",Chrome 72.0.3626.121,,2019-03-11 18:46:28,2019-03-11 18:46:28,0.052s,PASSED
