Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenDemo,,,2019-03-25 15:34:16,2019-03-25 15:34:26,10.077s,PASSED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2019-03-25 15:34:16,2019-03-25 15:34:26,9.389s,PASSED
"println(""..Using Product Code :"" + ProductCode)",,,2019-03-25 15:34:17,2019-03-25 15:34:17,0.010s,PASSED
"sendRequest(findTestObject(""POST"", [""Prod_Name"":ProductCode]))",,,2019-03-25 15:34:17,2019-03-25 15:34:24,7.013s,PASSED
"println(""..Using Sum1 :"" + Sum_1)",,,2019-03-25 15:34:24,2019-03-25 15:34:24,0.003s,PASSED
"sendRequest(findTestObject(""POST"", [""Sum1"":Sum_1]))",,,2019-03-25 15:34:24,2019-03-25 15:34:25,0.375s,PASSED
"println(""..Using Sum2 :"" + Sum_2)",,,2019-03-25 15:34:25,2019-03-25 15:34:25,0.003s,PASSED
"sendRequest(findTestObject(""POST"", [""Sum2"":Sum_2]))",,,2019-03-25 15:34:25,2019-03-25 15:34:25,0.360s,PASSED
"println(""..Using Sum3 :"" + Sum_3)",,,2019-03-25 15:34:25,2019-03-25 15:34:25,0.003s,PASSED
"sendRequest(findTestObject(""POST"", [""Sum3"":Sum_3]))",,,2019-03-25 15:34:25,2019-03-25 15:34:25,0.405s,PASSED
"println(""..Using Sum4 :"" + Sum_4)",,,2019-03-25 15:34:25,2019-03-25 15:34:25,0.002s,PASSED
"sendRequest(findTestObject(""POST"", [""Sum4"":Sum_4]))",,,2019-03-25 15:34:25,2019-03-25 15:34:26,0.389s,PASSED
